Mouser 零件號,Mfr 部件編號,製造商,規格書,供貨情況,定價,RoHS,壽命週期,產品明細
410-IAM-20680,IAM-20680,TDK InvenSense,https://product.tdk.com/system/files/dam/doc/product/sensor/mortion-inertial/imu/data_sheet/ds-000196-iam-20680-v1.1-typ.pdf?ref_disty=mouser,"3,583  庫存量","=""NT$600.12""",符合 RoHS,NRND,https://www.mouser.tw/ProductDetail/TDK-InvenSense/IAM-20680?qs=u4fy%2FsgLU9Oa%252BEihXf45xw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IAM-20680&utm_content=TDK-InvenSense
410-IAM-20680HT,IAM-20680HT,TDK InvenSense,https://product.tdk.com/system/files/dam/doc/product/sensor/mortion-inertial/imu/data_sheet/ds-000481-iam-20680ht-v1.1.pdf?ref_disty=mouser,"4,157  庫存量","=""NT$483.48""",符合 RoHS,,https://www.mouser.tw/ProductDetail/TDK-InvenSense/IAM-20680HT?qs=zW32dvEIR3sJjWNRY64Yvw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IAM-20680HT&utm_content=TDK-InvenSense
410-IAM-20680HP,IAM-20680HP,TDK InvenSense,https://product.tdk.com/system/files/dam/doc/product/sensor/mortion-inertial/imu/data_sheet/ds-000409-iam-20680hp.pdf?ref_disty=mouser,"11,260  庫存量","=""NT$509.04""",符合 RoHS,,https://www.mouser.tw/ProductDetail/TDK-InvenSense/IAM-20680HP?qs=hWgE7mdIu5TCwlRxPRHcGQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IAM-20680HP&utm_content=TDK-InvenSense
410-DK-20680HT,DK-20680HT,TDK InvenSense,https://product.tdk.com/system/files/dam/doc/product/sensor/mortion-inertial/imu/data_sheet/dk-20680a-hp-ht-product-brief.pdf?ref_disty=mouser,7  庫存量,"=""NT$3,555.00""",符合 RoHS,,https://www.mouser.tw/ProductDetail/TDK-InvenSense/DK-20680HT?qs=A6eO%252BMLsxmRq3JX%2Fzi05ag%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=DK-20680HT&utm_content=TDK-InvenSense
932-MIKROE-3827,MIKROE-3827,Mikroe,https://www.mikroe.com/6dof-imu-9-click,3  庫存量,"=""NT$1,656.00""",符合 RoHS,,https://www.mouser.tw/ProductDetail/Mikroe/MIKROE-3827?qs=Cb2nCFKsA8orG96Vyx%252Br8g%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=MIKROE-3827&utm_content=Mikroe
410-DK-20680HP,DK-20680HP,TDK InvenSense,https://product.tdk.com/system/files/dam/doc/product/sensor/mortion-inertial/imu/data_sheet/dk-20680a-hp-ht-product-brief.pdf?ref_disty=mouser,7  庫存量,"=""NT$3,936.96""",符合 RoHS,,https://www.mouser.tw/ProductDetail/TDK-InvenSense/DK-20680HP?qs=zW32dvEIR3vtYoT0HRrXbA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=DK-20680HP&utm_content=TDK-InvenSense
410-EV_IAM-20680HT,EV_IAM-20680HT,TDK InvenSense,https://product.tdk.com/system/files/dam/doc/product/sensor/mortion-inertial/imu/data_sheet/ds-000196-iam-20680-v1.1-typ.pdf,5  庫存量,"=""NT$1,659.96""",符合 RoHS,,https://www.mouser.tw/ProductDetail/TDK-InvenSense/EV_IAM-20680HT?qs=iLbezkQI%252BsiX4cW%252BMIE1uA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EV_IAM-20680HT&utm_content=TDK-InvenSense
410-EV_IAM-20680,EV_IAM-20680,TDK InvenSense,https://www.invensense.com/wp-content/uploads/2016/10/AN-IVS-0001EVB-00-v1-3.pdf,13  庫存量,"=""NT$1,125.00""",符合 RoHS,,https://www.mouser.tw/ProductDetail/TDK-InvenSense/EV_IAM-20680?qs=u4fy%2FsgLU9NlZJO9ZCO5vA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EV_IAM-20680&utm_content=TDK-InvenSense
410-DK-20680A,DK-20680A,TDK InvenSense,https://product.tdk.com/system/files/dam/doc/product/sensor/mortion-inertial/imu/data_sheet/ds-000196-iam-20680-v1.1-typ.pdf?ref_disty=mouser,暫無庫存,"=""NT$7,918.56""",符合 RoHS,,https://www.mouser.tw/ProductDetail/TDK-InvenSense/DK-20680A?qs=fAHHVMwC%252BbiCReugTDnkCQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=DK-20680A&utm_content=TDK-InvenSense
410-EV_IAM-20680HP,EV_IAM-20680HP,TDK InvenSense,,無庫存前置作業時間 3 週,"=""NT$1,589.76""",,,https://www.mouser.tw/ProductDetail/TDK-InvenSense/EV_IAM-20680HP?qs=iLbezkQI%252BshefaWV%2FxPoAQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EV_IAM-20680HP&utm_content=TDK-InvenSense
